ESTADO;ACCIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IR A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;";";ident;const;int;double;bool;string;[  ];(;);void;,;class;{;};:;interface;if;else;while;for;return;break;Console;.;Writeline;=;==;&&;<;<=;+;*;%;-;!;this;New;intConstant;doubleConstant;boolConstant;dtringConstant;null;$;S';Program;Decl;VariableDecl;Variable;ConstDecl;ConstType;Type;Type';Type'';FunctiondDecl;Formals;Formals';ClassDecl;CladdDecl_P;CladdDecl_R;CladdDecl_O;CladdDecl_Q;Field;InterfaceDecl;InterfaceDecl';Prototype;StmtBlock;StmtBlock';StmtBlock'';StmtBloclk''';Stmt;Stmt';IfStmt;IfStmt';WhileStmt;ForStmt;ReturnStmt;BreakStmt;PrintStmt;PrintStmt';Expr;ExprOr;ExprOr';ExprAnd;ExprAnd';ExprEquals;ExprEquals';ExprComp;ExprComp'
65;;;;;;;;;d74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;;;d75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;;r23;r23;r23;r23;r23;r23;;;;r23;;r23;;r23;;r23;;;;;;;;;;;;;;;;;;;;;;;;;;;r23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;r47;d19 / r47;r47;d15 / r47;d16 / r47;d17 / r47;d18 / r47;;r47;;r47;;r47;r47;r47;;r47;r47;r47;r47;r47;r47;r47;r47;;;;;;;;;;;r47;r47;r47;r47;r47;r47;r47;r47;r47;r47;;;;77;8;;;41;14;;;;;;;;;;;;;;;76;;;;;;;;;;;;;;;;;;;;;
69;;;;;;;;;;r26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;;r24;r24;r24;r24;r24;r24;;;;r24;;r24;;r24;;r24;;;;;;;;;;;;;;;;;;;;;;;;;;;r24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;;r28;r28;r28;r28;r28;r28;;;;r28;;r28;;;;r28;;;;;;;;;;;;;;;;;;;;;;;;;;;r28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;r35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;;;;;;;;;;;;d62;;r33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;;d19;;d15;d16;d17;d18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;41;14;;;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
